"","moral_dim","partyD","partyR"
"1","authority",0.438862276244584,0.426109848400843
"2","betrayal",0.325674662182284,0.326449507807299
"3","care",0.465879298525778,0.453687039119534
"4","cheating",0.354670350994619,0.350720902432129
"5","degradation",0.324050234244764,0.331744326901026
"6","fairness",0.427060504369565,0.415188519557078
"7","harm",0.446508200307228,0.442535815744741
"8","loyalty",0.426115455682118,0.410787944432137
"9","purity",0.321299865369723,0.319845835307239
"10","subversion",0.346591589682033,0.344270226119549
